"Worksheet exported from: C:\Users\agilent5100d2\Documents\Agilent\ICP Expert\My Results\2024\2024_10_08_Part III Bernardi Nepal spring water (SLRS6).esws"
"Instrument name","MY15110012"
"Software version","7.5.1.11869"
"Firmware version","5174"

"Label","Rack:Tube","Type","Date Time","Element","Element Label","Flags","Unadjusted Data","Concentration","Unit","Intensity","Concentration SD","Concentration % RSD","Intensity SD","Intensity % RSD","%RSE","Weight","Volume","Dilution","Internal Standard","Calibration fit","Correlation coefficient","Background correction","%RSE limit","Calibration Coefficient [1]","Calibration Coefficient [2]","Calibration Coefficient [3]","LIMS ID","Customer","Customer Ref.","Sample Date Time","Sample Site","Description","Replicates","Concentration Replicate 1","Concentration Replicate 2","Concentration Replicate 3","Concentration Replicate 4","Concentration Replicate 5","Concentration Replicate 6","Concentration Replicate 7","Concentration Replicate 8","Intensity Replicate 1","Intensity Replicate 2","Intensity Replicate 3","Intensity Replicate 4","Intensity Replicate 5","Intensity Replicate 6","Intensity Replicate 7","Intensity Replicate 8","Flags Replicate 1","Flags Replicate 2","Flags Replicate 3","Flags Replicate 4","Flags Replicate 5","Flags Replicate 6","Flags Replicate 7","Flags Replicate 8"
"Blank","1:1","BLK","08/10/2024 12:46:33","Al 396.152","Al Ax","","0.00000","0.00000","ppm","47.82487","-","-","8.60557","17.99","2.57368","-","-","-","-","Linear","0.99993","Fitted","-","41.1052654550838","18405.9052033298","-","","","","","","","8","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","46.67580","34.37829","57.63571","52.32743","54.86545","36.62301","54.21861","45.87470","","","","","","","",""
"Blank","1:1","BLK","08/10/2024 12:46:33","Al 396.152","Al R","","0.00000","0.00000","ppm","59.85764","-","-","12.49057","20.87","18.63100","-","-","-","-","Linear","0.99777","Fitted","-","52.016090499615","3060.8641198747","-","","","","","","","8","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","48.10105","60.26405","64.50068","40.83365","59.11673","59.51609","63.01507","83.51378","","","","","","","",""
"Blank","1:1","BLK","08/10/2024 12:46:33","Ba 230.424","Ba Ax","","0.00000","0.00000","ppm","6.30388","-","-","2.15337","34.16","2.39949","-","-","-","-","Quadratic","1.00000","Fitted","-","6.04016786658082","7317.64977743282","-1067.4996588442","","","","","","","8","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","3.37055","8.82658","5.44975","6.86744","7.71003","5.04092","9.10435","4.06145","","","","","","","",""
"Blank","1:1","BLK","08/10/2024 12:46:33","Ba 233.527","Ba Ax","","0.00000","0.00000","ppm","6.07970","-","-","2.56076","42.12","2.68458","-","-","-","-","Quadratic","0.99999","Fitted","-","6.88435489569292","19838.6679755351","-6032.52706934861","","","","","","","8","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","10.49621","6.00878","4.43224","6.78609","4.39424","7.05069","7.54330","1.92601","","","","","","","",""
"Blank","1:1","BLK","08/10/2024 12:46:33","Ba 455.403","Ba Ax","","0.00000","0.00000","ppm","159.96752","-","-","21.32543","13.33","1.61707","-","-","-","-","Quadratic","0.99996","Fitted","-","203.494051712615","1521776.49055213","-834506.953322269","","","","","","","8","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","180.03561","172.68997","143.23119","150.79042","155.75321","170.40938","185.36708","121.46331","","","","","","","",""
"Blank","1:1","BLK","08/10/2024 12:46:33","Ba 493.408","Ba Ax","","0.00000","0.00000","ppm","44.68184","-","-","17.38305","38.90","1.26014","-","-","-","-","Quadratic","0.99996","Fitted","-","42.9980239818362","963123.28957605","-582596.720254958","","","","","","","8","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","45.18608","28.27243","35.29666","42.79858","79.07921","23.06860","51.55918","52.19397","","","","","","","",""
"Blank","1:1","BLK","08/10/2024 12:46:33","Ba 230.424","Ba R","","--","--","ppm","-","-","-","-","N/A","","-","-","-","-","Quadratic","1.00000","Fitted","-","0.215422190034133","1450.76281276254","-832.286086644628","","","","","","","8","","","","","","","","","","","","","","","","","","","","","","","",""
"Blank","1:1","BLK","08/10/2024 12:46:33","Ba 233.527","Ba R","","0.00000","0.00000","ppm","4.38113","-","-","3.04486","69.50","1.90653","-","-","-","-","Quadratic","0.99998","Fitted","-","4.54091994168925","3348.99205473925","791.151579392841","","","","","","","8","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.26691","2.64009","2.20237","8.17316","1.54137","7.47568","6.03969","6.70978","","","","","","","",""
"Blank","1:1","BLK","08/10/2024 12:46:33","Ba 455.403","Ba R","","0.00000","0.00000","ppm","97.68501","-","-","29.38508","30.08","1.33503","-","-","-","-","Quadratic","1.00000","Fitted","-","109.897182337006","289171.185408899","-57496.1493326165","","","","","","","8","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","88.09848","72.74195","116.12532","90.99360","145.57299","51.76047","95.31672","120.87058","","","","","","","",""
"Blank","1:1","BLK","08/10/2024 12:46:33","Ba 493.408","Ba R","","0.00000","0.00000","ppm","55.62114","-","-","21.85934","39.30","2.29612","-","-","-","-","Quadratic","0.99999","Fitted","-","42.1222310132016","174444.972639381","-16263.2099342793","","","","","","","8","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","48.03149","66.84726","88.55343","20.15822","31.23615","68.18536","63.11631","58.84091","","","","","","","",""
"Blank","1:1","BLK","08/10/2024 12:46:33","Ca 315.887","Ca Ax","","0.00000","0.00000","ppm","2.96751","-","-","1.75559","59.16","1.93376","-","-","-","-","Quadratic","1.00000","Fitted","-","1.3778333314649","698.874435870667","-0.198766120997746","","","","","","","8","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","3.24825","2.30875","3.74070","2.12025","1.96576","2.13258","6.88914","1.33462","","","","","","","",""
"Blank","1:1","BLK","08/10/2024 12:46:33","Ca 317.933","Ca Ax","","0.00000","0.00000","ppm","26.39940","-","-","6.82568","25.86","0.75447","-","-","-","-","Quadratic","0.99999","Fitted","-","18.9408567923787","5324.22144826598","-2.28210171540624","","","","","","","8","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","37.93124","26.06062","26.23127","13.73325","26.79999","22.59886","30.54179","27.29822","","","","","","","",""
