"Worksheet exported from: C:\Users\agilent5100d2\Documents\Agilent\ICP Expert\My Results\2024\2024_10_10_PartIII Bernardi Nepal Springs 2 (SLRS5, NOT 6).esws"
"Instrument name","MY15110012"
"Software version","7.5.1.11869"
"Firmware version","5174"

"Label","Rack:Tube","Type","Date Time","Element","Element Label","Flags","Unadjusted Data","Concentration","Unit","Intensity","Concentration SD","Concentration % RSD","Intensity SD","Intensity % RSD","%RSE","Weight","Volume","Dilution","Internal Standard","Calibration fit","Correlation coefficient","Background correction","%RSE limit","Calibration Coefficient [1]","Calibration Coefficient [2]","Calibration Coefficient [3]","LIMS ID","Customer","Customer Ref.","Sample Date Time","Sample Site","Description","Replicates","Concentration Replicate 1","Concentration Replicate 2","Concentration Replicate 3","Concentration Replicate 4","Concentration Replicate 5","Concentration Replicate 6","Concentration Replicate 7","Concentration Replicate 8","Intensity Replicate 1","Intensity Replicate 2","Intensity Replicate 3","Intensity Replicate 4","Intensity Replicate 5","Intensity Replicate 6","Intensity Replicate 7","Intensity Replicate 8","Flags Replicate 1","Flags Replicate 2","Flags Replicate 3","Flags Replicate 4","Flags Replicate 5","Flags Replicate 6","Flags Replicate 7","Flags Replicate 8"
"Blank","1:1","BLK","10/10/2024 10:17:02","Al 396.152","Al Ax","","0.00000","0.00000","ppm","43.45772","-","-","11.45018","26.35","3.05851","-","-","-","-","Linear","0.99993","Fitted","-","28.3209273223075","19098.9430216838","-","","","","","","","8","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","45.28240","37.40378","48.47310","67.79706","30.06757","34.72084","42.16373","41.75329","","","","","","","",""
"Blank","1:1","BLK","10/10/2024 10:17:02","Al 396.152","Al R","","0.00000","0.00000","ppm","57.73372","-","-","14.66381","25.40","4.26796","-","-","-","-","Linear","0.99952","Fitted","-","54.5543076187441","3114.91010073713","-","","","","","","","8","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","67.65218","53.41309","53.67302","51.33161","29.28351","71.91291","59.02178","75.58165","","","","","","","",""
"Blank","1:1","BLK","10/10/2024 10:17:02","Ba 230.424","Ba Ax","","0.00000","0.00000","ppm","5.85736","-","-","3.31678","56.63","2.06993","-","-","-","-","Quadratic","0.99999","Fitted","-","5.36589337834405","7538.77223403723","-2284.76136348979","","","","","","","8","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","3.71164","7.95173","6.66934","2.15101","12.30298","6.94949","3.97284","3.14989","","","","","","","",""
"Blank","1:1","BLK","10/10/2024 10:17:02","Ba 233.527","Ba Ax","","0.00000","0.00000","ppm","6.18446","-","-","4.78670","77.40","2.18497","-","-","-","-","Quadratic","0.99999","Fitted","-","6.58751592601908","19854.8138906164","-3879.45646081096","","","","","","","8","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","1.81541","10.37395","5.57769","10.57869","1.45555","5.58237","0.72699","13.36503","","","","","","","",""
"Blank","1:1","BLK","10/10/2024 10:17:02","Ba 455.403","Ba Ax","","0.00000","0.00000","ppm","183.75698","-","-","28.04570","15.26","1.20647","-","-","-","-","Quadratic","0.99997","Fitted","-","214.571556792773","1556542.5817553","-811469.890027314","","","","","","","8","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","162.10174","215.62457","206.96185","148.19839","174.56004","206.19807","206.21213","150.19904","","","","","","","",""
"Blank","1:1","BLK","10/10/2024 10:17:02","Ba 493.408","Ba Ax","","0.00000","0.00000","ppm","19.75485","-","-","12.79616","64.77","2.36988","-","-","-","-","Quadratic","0.99997","Fitted","-","28.6394350473045","984269.73552266","-635651.675178558","","","","","","","8","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","24.57946","-1.04023","33.77910","29.33526","18.95268","4.20041","16.32535","31.90679","","","","","","","",""
"Blank","1:1","BLK","10/10/2024 10:17:02","Ba 230.424","Ba R","","0.00000","0.00000","ppm","7.56034","-","-","4.36124","57.69","4.80673","-","-","-","-","Quadratic","0.99979","Fitted","-","5.52060271054268","1273.03833498802","1011.41586795117","","","","","","","8","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","11.21290","12.66860","3.44369","2.18664","6.11547","4.56279","13.56951","6.72311","","","","","","","",""
"Blank","1:1","BLK","10/10/2024 10:17:02","Ba 233.527","Ba R","","0.00000","0.00000","ppm","6.29710","-","-","4.71732","74.91","2.94284","-","-","-","-","Quadratic","1.00000","Fitted","-","6.02071070967239","3420.49811598237","1399.92997695575","","","","","","","8","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","6.39339","11.24152","2.59759","2.01568","13.47386","-0.07274","5.79181","8.93566","","","","","","","",""
"Blank","1:1","BLK","10/10/2024 10:17:02","Ba 455.403","Ba R","","0.00000","0.00000","ppm","85.04858","-","-","29.82132","35.06","1.84911","-","-","-","-","Quadratic","1.00000","Fitted","-","89.2848165983996","293717.113156751","-77060.6810758896","","","","","","","8","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","69.64450","60.57541","82.87442","37.27085","83.51645","126.98986","117.47002","102.04711","","","","","","","",""
"Blank","1:1","BLK","10/10/2024 10:17:02","Ba 493.408","Ba R","","0.00000","0.00000","ppm","56.44767","-","-","26.89365","47.64","2.29046","-","-","-","-","Quadratic","1.00000","Fitted","-","38.7484715135834","177581.429765117","-22479.4291302506","","","","","","","8","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","18.12980","90.13954","44.23429","29.80288","75.30489","63.88626","42.21953","87.86421","","","","","","","",""
"Blank","1:1","BLK","10/10/2024 10:17:02","Ca 315.887","Ca Ax","","0.00000","0.00000","ppm","3.87247","-","-","1.91825","49.54","2.01962","-","-","-","-","Quadratic","0.99999","Fitted","-","2.52720262045973","715.008475330134","-0.0762690161785571","","","","","","","8","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","5.67622","1.05074","2.90877","6.12049","1.72426","3.19103","5.46663","4.84161","","","","","","","",""
"Blank","1:1","BLK","10/10/2024 10:17:02","Ca 317.933","Ca Ax","","0.00000","0.00000","ppm","18.83665","-","-","8.72981","46.34","0.83746","-","-","-","-","Quadratic","0.99999","Fitted","-","8.39911081792877","5501.48107154963","-2.83121159221395","","","","","","","8","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","3.40189","23.87102","21.91557","32.24849","20.77146","10.38279","17.43394","20.66801","","","","","","","",""
