External Standard Label,Element,Standard Concentration,Standard 2SD,Standard Unit
SPS-SW2,Al,0.25,0.001,ppm
SPS-SW2,As,0.05,0.0003,ppm
SPS-SW2,B,0.25,#VALUE!,ppm
SPS-SW2,Ba,0.25,0.001,ppm
SPS-SW2,Ca,10,0.05,ppm
SPS-SW2,Cd,0.0025,0.00002,ppm
SPS-SW2,Ce,0.0025,0.00002,ppm
SPS-SW2,Co,0.01,0.00005,ppm
SPS-SW2,Cr,0.01,0.00005,ppm
SPS-SW2,Cs,0.01,0.00005,ppm
SPS-SW2,Cu,0.1,0.001,ppm
SPS-SW2,Dy,0.0025,0.00002,ppm
SPS-SW2,Er,0.0025,0.00002,ppm
SPS-SW2,Eu,0.0025,0.00002,ppm
SPS-SW2,Fe,0.1,0.001,ppm
SPS-SW2,Gd,0.0025,0.00002,ppm
SPS-SW2,Ho,0.0025,0.00002,ppm
SPS-SW2,K,1,0.005,ppm
SPS-SW2,La,0.0025,0.00002,ppm
SPS-SW2,Lu,0.0025,0.00002,ppm
SPS-SW2,Mg,2,0.01,ppm
SPS-SW2,Mn,0.05,0.0003,ppm
SPS-SW2,Mo,0.05,0.0003,ppm
SPS-SW2,Na,10,0.05,ppm
SPS-SW2,Nd,0.0025,0.00002,ppm
SPS-SW2,Ni,0.05,0.0003,ppm
SPS-SW2,P,0.5,0.003,ppm
SPS-SW2,Pb,0.025,0.0001,ppm
SPS-SW2,Pr,0.0025,0.00002,ppm
SPS-SW2,Rb,0.05,0.0003,ppm
SPS-SW2,S,10,0.05,ppm
SPS-SW2,Sc,0.0025,0.00002,ppm
SPS-SW2,Se,0.01,0.00005,ppm
SPS-SW2,Si,5,0.03,ppm
SPS-SW2,Sm,0.0025,0.00002,ppm
SPS-SW2,Sr,0.25,0.001,ppm
SPS-SW2,Tb,0.0025,0.00002,ppm
SPS-SW2,Th,0.0025,0.00002,ppm
SPS-SW2,Tl,0.0025,0.00002,ppm
SPS-SW2,Tm,0.0025,0.00002,ppm
SPS-SW2,U,0.0025,0.00002,ppm
SPS-SW2,V,0.05,0.0003,ppm
SPS-SW2,Y,0.0025,0.00002,ppm
SPS-SW2,Yb,0.0025,0.00002,ppm
SPS-SW2,Zn,0.1,0.002,ppm
SLRS-6,Al,0.0338,0.0022,ppm
SLRS-6,As,0.00057,0.00008,ppm
SLRS-6,Ba,0.01428,0.00048,ppm
SLRS-6,Be,0.0000066,0.0000022,ppm
SLRS-6,Ca,8.76,0.2,ppm
